Address,Vote,TotalYOU,youInWallet,youInStakinguUSDPool,youInStakinguDEFIPool,youInQuipuswapPool,youInPlentyPool,youInUusdPool
tz1WW1xr4mdTif7jorgVr7aqY3YnnJPSDXj7,1,14003045500000000,0,7046030500000000,6957015000000000,0,0,0
tz1MmDX549QtifqbizRUKSXhtEiKCF1cJHPF,1,5571303458916048,34056806720720,5537246652195328,0,0,0,0
tz1dkkfj76D6KkhqwZbDcBy2hRvNc45TEaVM,1,684268161845440.2649575398800565357,5,65602202420687,0,617588885150449.8577423161694708154,0.02366970631314239705,1077074274298.38354551739744332325
tz1T1buQd895VYtg34W3swFaVpT6A4XpW5i7,1,0,0,0,0,0,0,0
tz1LmbJZpQ9VQU2LfLbH839wMHSG3iT13b9J,1,0,0,0,0,0,0,0
tz1gMfLSQs6xTM2TcLM6Sb2njJ6h9qhSsT9Z,1,609519171321934.7315469636972698178,1,0,0,0,609519171321933.7315469636972698178,0
tz1eRPcjeVygsvXhWBMRsmFDYRm1CLdj34w9,1,0,0,0,0,0,0,0
tz28S96XJii1cEFzcCtJWHyviVEB2byFSsKd,1,4.98562569438612891575,0,0,0,0,4.98562569438612891575,0
tz1cZVbFLhGA3obUjFMamUBknEYUr5rcxX3g,1,104797343591823951,248015873014,104797095575950937,0,0,0,0
tz1XeJPq3N1q4r2x2mKjCw2bqPfVHYo1HZJT,1,404075970088615,21823199,404075948265416,0,0,0,0
tz1P9on812SP1uG5cP9PQmPHrdKgaJgfakSc,1,1485157008027545,8027545,1485157000000000,0,0,0,0
tz1Z15qCAbWvqizZtoCyZNbqt1upY3w6Qrgy,1,17756339657659947,29307404,17756339628352543,0,0,0,0
tz1UoKspWJewRU9ZPzeL3qR4gjfcGGX5gRiV,1,33175664786996941.901602637656008117,392607568998534,32778564428056338,0,0,0,4492789942069.901602637656008117
tz1Me1MGhK7taay748h4gPnX2cXvbgL6xsYL,1,17988391219371.026517964994676548,17980667862294,0,0,0,0,7723357077.026517964994676548
tz1WHUWCMqVqq5AagGN5DrytqWz88tYgedUr,1,182041800000000,0,0,182041800000000,0,0,0
tz2W1yCHVUZwr4PqzrWghRmhjtqu35WAu6Qi,1,3327738465309723,65309723,3327738400000000,0,0,0,0
tz1XYkmAHtkZFjZLdWNoL2BTqUws4oD4H1PR,1,1763108487850.91540068434718598425,1,0,0,0,0,1763108487849.91540068434718598425
tz1SraYbcCskcKKak9xoo6cFCL78SMZ4wVwV,1,87049323927236,87049323927236,0,0,0,0,0
tz1afYUfaKDigXomGRiH69XWmZucZf9eGnj2,1,5460866327826813.87577537827641748575,20754161321255,5105070348264475,12986580460255,0,322055237780828.87577537827641748575,0
tz1PTR7wFs8pTFarkpsZ7zrtVBJhusyNRRM5,1,34194264962983,64962983,34194200000000,0,0,0,0
tz1MdSsDBG8k8q1pxZrdpSC2Aw49ukFs8ACy,1,11918324891450089,91450089,11114071100000000,804253700000000,0,0,0
tz1aDrsGYyNbiqUX6eTHLe5otZJwN5XQh2kG,1,6515898043920.59687465446202007895,0,0,0,0,4.00534842506803942395,6515898043916.591526229393980655
tz1Rux3pGrp2KpZUBKvg3VQ4edRYVJsapr4z,1,0,0,0,0,0,0,0
tz1LN3wPFYuS5fCnodwxT94xVFLPtcFHvcHk,1,1314903020876426,903020876426,1314000000000000,0,0,0,0
tz1iAc9ytzCjZSYMo7JtnhtViLrzV7xx2TDH,1,2054125556605,406732543727,1291393012878,356000000000,0,0,0
tz1TxxiRh28guikSX5LRiJkBunkgZi9QJz4c,1,10840691011835116,11835116,10840691000000000,0,0,0,0
tz1d3BnXn8WQuGZCqxKA6R7EEn9jmeN5tSju,1,6127573229838,73229838,1224900000000,4902600000000,0,0,0
tz1ZutSZgCHEzxspXyoSYSREhwHh5g4PM8hN,0,813236538111983,38111983,813236500000000,0,0,0,0
tz2JgCoeydn3KsFHZVRMVzXcq22s7JLzCdas,1,983435016203685.555223656397468505,975972022789483,0,0,0,0,7462993414202.555223656397468505
tz1YWAhTgqbBfB3m55ykmix3KFqn4BWHPnab,1,73654892736088521.2471366718997194025,383800473805,73643000000000000,0,0,0.487864689074376044,11508935614715.7592719828253433585
tz1hrAewJDju8L25r6NBoNa2FHVXTrt7SEiw,1,14356668514482589.3218666613935608053,14482589,14356668500000000,0,0,0.3218666613935608053,0
tz1X2debvxGtmv1px96EHCXZemHFr2kEZner,1,0,0,0,0,0,0,0
tz1LETorkxsSMisCtzE6euYCTrqUJrFpPLyz,1,6745433498483,6745433498483,0,0,0,0,0
tz1Kk6A3hRvP5FBCupUGMXxiMUiwyRcHLe5w,1,99899780861635,80861635,99899700000000,0,0,0,0
tz2LPXT1khRrU5GmpKJ7tFyqLtapiHtsexmL,1,1008241973125,1008241973125,0,0,0,0,0
tz1QfgVfyb1Q5KpUHeRy7i3CJ62XJQH6CvDD,1,6417212962183674,800000455955414,5199997606228260,417214900000000,0,0,0
tz1NSdbHJ6FCtpKEUDSnwURoQ2V1nZ9DyyYh,1,401368823933498.9434714793232922328,23933490,0,401368800000000,0,0.00506469698403483605,8.93840678233925739675
tz1Z1xRcvcqPPqja34fWNd1StABUV38LnbpW,1,1363402237774708,34521468,1363402203253240,0,0,0,0
tz1fv6Na5vy8ecSV3rQrWv2hdGoFgiwUP6TD,1,136735508862979571,411679969252,136735097183010319,0,0,0,0
tz1bBkoYeN1KLDWAYQDRT7UZQfSJem22J5SF,1,47498911587722826,160533534910261,47338378052812565,0,0,0,0
tz1ThWTEHmP8UCAP793Qw2juF7ivYR688fsx,1,6421481202100488,455723759641,6421025478340847,0,0,0,0
tz1aV6CMWGRZ99yRmswdQbkYa5z6FtpR9V29,1,16085259819274024,545690973238,16084714128300786,0,0,0,0
tz1ZTvEfWf25tL6Fq4wPPyqNtLbpTbTWrRgK,1,2049542633376001,2321033376001,2047221600000000,0,0,0,0
tz1Y4cGsQd26rAkCxegZvUunnvfXxJvDNSmF,1,2814924757321411,4065869830,2814920691451581,0,0,0,0
tz1SHyGgXii5Wgxu4s8na6gUoGn2AeQgHiJW,1,12451842850966.5829417686209784227,718530285119,0,0,0,11733312565847.5829417686209784227,0
tz1dexUB1VgBk2576bFYcnd6QELuw4QajnJM,1,15478932081622514.9008685515859530721,6156769811,9449363934120798,5000000000000000,1029561990731905.9008685515859530721,0,0
tz1QzfRPHEeUKBNa5xKFT17HPPJTence7DpC,1,316602955,316602955,0,0,0,0,0
tz1eC31VmLBGkt7jZvBwCdc3EaqayBkwugD8,1,2093834636641644,35766336641644,0,2058068300000000,0,0,0
tz1VvuZ7aWDdVyVadYSDLVZp5rnvDBZyPiJe,1,336002702859692,11350891,336002691508801,0,0,0,0
