Address,Vote,TotalYOU,youInUnifiedStakingPool
tz1UoKspWJewRU9ZPzeL3qR4gjfcGGX5gRiV,1,66922399371031853,66922399371031853
tz1Z15qCAbWvqizZtoCyZNbqt1upY3w6Qrgy,1,65527691792741787,65527691792741787
tz1P9on812SP1uG5cP9PQmPHrdKgaJgfakSc,1,155770492826001030,155770492826001030
tz1ZFMwNB6jvvjKwrEqGoSkC6PzvP28SyEH4,1,5281416699060902,5281416699060902
tz1dbCAvra65bwTVk5mgkYUHUGz3hoKwovZ8,1,57098405432155,57098405432155
tz1f7x66piZUoLamWcrHDwkpMYnnYgJKDRG5,1,0,0
tz1XYkmAHtkZFjZLdWNoL2BTqUws4oD4H1PR,1,0,0
tz2WogUVRTQb7PfgVdg3aXskDd54Uc18ch9n,1,5526196347885323,5526196347885323
tz1WVMmKYeDChF5nssUd5x3Mhc6kzqTeJ5C9,1,136456671302593296,136456671302593296
tz1QEJVYgWPc4PLujFXUpRy6KLCUjLQZjfNH,0,0,0
tz1MdSsDBG8k8q1pxZrdpSC2Aw49ukFs8ACy,1,60142041339993483,60142041339993483
tz1heiihbfKE4J4etuU9rXvbQknXnkszNugA,1,1208747679190467,1208747679190467
tz1YRG68NdqtAcsFEwTUw6FsSsiBb5kagEDo,1,10055668975195864,10055668975195864
tz1e4DnaseVgUSRFjmhtLgbZmypdyc2ENzxY,1,0,0
tz1VYa9SB4LtsHLWZnJXc1JuL7wuX46orE2Z,1,11539687651529234,11539687651529234
tz1TQxmf4irW6xBNfa6Seg2KytMwDvJtiktn,1,100435554371860655,100435554371860655
tz1X2debvxGtmv1px96EHCXZemHFr2kEZner,1,7673812815261556,7673812815261556
tz1WH8q1pXgfrRZQFHu8943JuQyTXQgBWb5G,1,146402916404003636,146402916404003636
tz1Ma54cPMcobQKkqAP1STzv3YtdY4w525Zh,1,21734136814419040,21734136814419040
tz1ZeRsv3qTfoKAzfaJLSGtqXpnJeUTM8BHg,1,11253943483251887,11253943483251887
tz1P5dgsYd7f9DvjiN4cpoZ3gPJVCQrNetBB,1,0,0
tz1fv6Na5vy8ecSV3rQrWv2hdGoFgiwUP6TD,1,495897776700872381,495897776700872381
tz1RfFpMfew5sz7iQkt1X7VbswP7dFmtzutD,1,2533247041355944,2533247041355944
tz1YWAhTgqbBfB3m55ykmix3KFqn4BWHPnab,1,164746424395606309,164746424395606309
tz1dBU7YAkrviDyUvZN5aeTZJ9YrmtaDADMG,1,62070138220776968,62070138220776968
tz1iJJPGh7arygfq5EC2sBaAF23T8iUYTpEH,0,0,0
tz1dexUB1VgBk2576bFYcnd6QELuw4QajnJM,1,38309956043658125,38309956043658125
tz1WW1xr4mdTif7jorgVr7aqY3YnnJPSDXj7,1,25026080484919411,25026080484919411
tz1ioU6W4otB7ebgRZTq1EVVra3vMyXqeqsm,1,15350104832239698,15350104832239698
tz1QanPT1sMCTEqesxbySgWX2fwzpsSwDAa1,1,81625829105628,81625829105628
tz1V28Zqfftk8o6ehc5UdJPzuyZW99yJ4Gj5,1,1341219207541,1341219207541
Total votes YES,29
Total votes NO,2
Total YOU YES,1610005171047194173
Total YOU NO,0
Total YOU VOTED,1610005171047194173
