Address,Vote,TotalYOU,youInUnifiedStakingPool
tz1NEHwkV74mFgfXZL7twQrKWSCc1py3E9mU,1,5528979875397553,5528979875397553
tz1WW1xr4mdTif7jorgVr7aqY3YnnJPSDXj7,1,24701671703154652,24701671703154652
tz1WH8q1pXgfrRZQFHu8943JuQyTXQgBWb5G,1,145268482743306403,145268482743306403
tz1THJA9U7BwPBF1raQ5cgBX5kpjFE9AKftH,1,22569729396702433,22569729396702433
tz1dBU7YAkrviDyUvZN5aeTZJ9YrmtaDADMG,0,62305558040518992,62305558040518992
tz1WL8Zd5YgqNAWCQuvdAFrCBgH15YBmuGFf,1,0,0
tz1TQxmf4irW6xBNfa6Seg2KytMwDvJtiktn,1,98171607816464170,98171607816464170
tz1d4649CmmMEzXBWzhTgTkFxy9ATNhb5HC3,1,48169112220544,48169112220544
tz1X2debvxGtmv1px96EHCXZemHFr2kEZner,1,7092291814852050,7092291814852050
tz1Ma54cPMcobQKkqAP1STzv3YtdY4w525Zh,1,0,0
tz1dx13MqhxT93z5JWoFgHuaRbGAvkt3a1p1,1,14407563353781,14407563353781
tz1MfQBoaAPfNtpcpWDKXMjtt8zHRL5t371v,1,100091295028,100091295028
tz1heiihbfKE4J4etuU9rXvbQknXnkszNugA,1,1174402697360807,1174402697360807
tz1RCq8SjPnucWqCJJraeHkZMLVgvR8DxBzr,0,464779902606262,464779902606262
tz1MmDX549QtifqbizRUKSXhtEiKCF1cJHPF,1,11869681777523431,11869681777523431
tz1hKW9ZbV7U1hb1zPfrE6HG5UWsKt6eppMa,1,2090011042770783,2090011042770783
tz1MdSsDBG8k8q1pxZrdpSC2Aw49ukFs8ACy,1,53848286602934880,53848286602934880
tz1UugYWMYaH4SqyNZToo4gY43iCYYEkbxnu,1,0,0
tz1WVMmKYeDChF5nssUd5x3Mhc6kzqTeJ5C9,1,135399308205227248,135399308205227248
tz1ZeRsv3qTfoKAzfaJLSGtqXpnJeUTM8BHg,1,11154897069298764,11154897069298764
tz1YWAhTgqbBfB3m55ykmix3KFqn4BWHPnab,1,163469852221332487,163469852221332487
tz1VUAhWPnigTcWk25WigTxayuPgLjZZGCMw,1,100421833755823,100421833755823
tz1ZEAfCkK3hJAbTATBF6jXmjPdhr5ZkNduu,1,46685933605294,46685933605294
tz1ed4brTwpFg8hFUJSJ4HqnsC7sEjVesMtb,1,861761117338391,861761117338391
tz1QanPT1sMCTEqesxbySgWX2fwzpsSwDAa1,1,78927453672733,78927453672733
tz1VYa9SB4LtsHLWZnJXc1JuL7wuX46orE2Z,1,11445645193572505,11445645193572505
tz1iJJPGh7arygfq5EC2sBaAF23T8iUYTpEH,1,0,0
tz1fv6Na5vy8ecSV3rQrWv2hdGoFgiwUP6TD,1,490032221780592498,490032221780592498
tz1YRG68NdqtAcsFEwTUw6FsSsiBb5kagEDo,1,9967500061143907,9967500061143907
tz1V28Zqfftk8o6ehc5UdJPzuyZW99yJ4Gj5,1,0,0
Total votes YES,28
Total votes NO,2
Total YOU YES,1194935043106876165
Total YOU NO,62770337943125254
Total YOU VOTED,1257705381050001419
