Address,Vote,TotalYOU,youInWallet,youInStakingPool,youInQuipuswapPool,youInPlentyPool
tz1djoKShpxNpTbGMGU7GEusnz2yDEGvF9gz,0,30006810853648,10853648,30006800000000,0,0
tz1NTdYCowcbAvoCzMjKZogzNWMbSXTU9okC,1,16344125644723,8095082591,0,0,16336030562132
tz1MtaUicPHBwrvkwnNwikGFfFWdaPxYAvJc,1,124806457935,124806457935,0,0,0
tz1RmXjKJJqzRehdMz1DWhcRQYbhiaLYtrRN,1,63168536271995,11312984,11090500000000,0,52078024959011
tz1MXiYFteGmabPX8MCmgydVgxRQuKzkGevs,1,3457695310203584,33110203584,3457662200000000,0,0
tz1VBoLhm1RGmsiUC6qJdeXnHbMSpRYDy2in,1,1319035516367215,443457519405,1318592058847810,0,0
tz1UDairD4k7GJfNRzRFn6y1B8XyiwyVLHmv,1,168276362616356,7905663636005,160370698980351,0,0
tz1hGAA5FL3EC2c1o11Aq4ZqtWj1RZP5bYYj,1,203295076072755,76072755,203295000000000,0,0
tz1NrXAc1TcHZhqP3iafzvAH6TnuFSc7Fnjk,1,3244613349224785,499931763,3244612849293022,0,0
tz1VTFBKGGD65Cgdcf92piJo3BbMmjuDbf6R,1,11442398064591785,0,11442398064591785,0,0
tz1P4owaJWbeXsuqGSvggi3imzR2mJDpyxTV,1,1197371567777687,497367348330,1196874200429357,0,0
tz1ecAtwNdrsABBKa7Bvn9ZEq1Ze1EvS9WTW,1,1653567674484,67674484,1653500000000,0,0
tz1d4649CmmMEzXBWzhTgTkFxy9ATNhb5HC3,1,54627643830895,1179024844830,0,0,53448618986065
tz1LdQVA38fcf7aPV8woVZ2br9jh3becX6aA,1,114994489761836,1520069063236,109215700000000,0,4258720698600
tz1Z1xRcvcqPPqja34fWNd1StABUV38LnbpW,1,721462062884192,376910183,721461685974009,0,0
tz1dBU7YAkrviDyUvZN5aeTZJ9YrmtaDADMG,1,18323777537124604,410685931393,18323366851193211,0,0
tz1hv3sZs4F8MgQSVzzj3HYbTGoeFQu3fH9k,1,2220494045896836,45896836,2220494000000000,0,0
tz1R5pBgWCLv297Tt5ZnKyo7mzXGFuBfZN2q,1,35236324446031678,250719187736,35236073726843942,0,0
tz1Z15qCAbWvqizZtoCyZNbqt1upY3w6Qrgy,1,14656111989459916,255390511189352,14400721478270564,0,0
tz1UoKspWJewRU9ZPzeL3qR4gjfcGGX5gRiV,1,10714136582854506,76622065,10714136506232441,0,0
tz1U9RY2mXmwAaSSm67rEy49N5YE1Rs7K223,1,22114174997136,70837900,22114104159236,0,0
tz1hvqKwQ9wPavCjQPnX4QdV5zBdSaXFp1t6,1,314146,314146,0,0,0
tz1THJA9U7BwPBF1raQ5cgBX5kpjFE9AKftH,1,2101402022685459,1695514670,2101400327170789,0,0
tz1W8RgHPiTDPqB5bGommn4QgJwMFuT3B1QF,1,182695161548370,861310519511,0,0,181833851028859
tz1NhLfGEpY3LzwcwU6hUYGp52cHiBKZqnXK,1,156111053629901,156111053629901,0,0,0
tz1i3uJbrseBejhtZbkCpx2fXdTw68TXpmqs,1,0,0,0,0,0
tz1ZutSZgCHEzxspXyoSYSREhwHh5g4PM8hN,1,696764530148974,602330148974,696162200000000,0,0
