Address,Vote,TotalYOU,youInUnifiedStakingPool
tz1NEHwkV74mFgfXZL7twQrKWSCc1py3E9mU,1,5556442249789643,5556442249789643
tz1RZiF2GQTsSHrnxZhUpYSfZBvnmTYEPaHW,1,83417894855160,83417894855160
tz1dx13MqhxT93z5JWoFgHuaRbGAvkt3a1p1,1,14734066348999,14734066348999
tz1VYa9SB4LtsHLWZnJXc1JuL7wuX46orE2Z,1,11507143313610882,11507143313610882
tz1h5EEGcuakG3xAaTxGeUS5xv6ZqVCreSGL,0,3667238517787511,3667238517787511
tz2WogUVRTQb7PfgVdg3aXskDd54Uc18ch9n,1,5510611315882754,5510611315882754
tz1WVMmKYeDChF5nssUd5x3Mhc6kzqTeJ5C9,1,136071834887935528,136071834887935528
tz1TQxmf4irW6xBNfa6Seg2KytMwDvJtiktn,1,99469902624574811,99469902624574811
tz1X2debvxGtmv1px96EHCXZemHFr2kEZner,1,7652171054676385,7652171054676385
tz1YSvD1TBXdUqBtmvprGodwnrTjHuUhaT47,1,7864461509655615,7864461509655615
tz1dexUB1VgBk2576bFYcnd6QELuw4QajnJM,1,33363898041648702,33363898041648702
tz1MdSsDBG8k8q1pxZrdpSC2Aw49ukFs8ACy,1,59972428177525533,59972428177525533
tz1P4cNkdhXSBSVWNRcr5kDcW6Yh9LEa3pLh,1,5945146664758999,5945146664758999
tz1NiraRNtWgpXyyxopRTk2a7Py9oKFdrgkB,1,0,0
tz1ed4brTwpFg8hFUJSJ4HqnsC7sEjVesMtb,1,866041474108398,866041474108398
tz1YWAhTgqbBfB3m55ykmix3KFqn4BWHPnab,1,164281804947638818,164281804947638818
tz1fv6Na5vy8ecSV3rQrWv2hdGoFgiwUP6TD,1,495455666804354657,495455666804354657
tz1Ma54cPMcobQKkqAP1STzv3YtdY4w525Zh,1,21672841993084911,21672841993084911
tz1P5dgsYd7f9DvjiN4cpoZ3gPJVCQrNetBB,1,112162762961077,112162762961077
tz1RCq8SjPnucWqCJJraeHkZMLVgvR8DxBzr,1,467088458611699,467088458611699
tz1dBU7YAkrviDyUvZN5aeTZJ9YrmtaDADMG,1,62327622059232664,62327622059232664
tz1VTFBKGGD65Cgdcf92piJo3BbMmjuDbf6R,1,11630357889217737,11630357889217737
tz1Z15qCAbWvqizZtoCyZNbqt1upY3w6Qrgy,1,62042185344537075,62042185344537075
tz1P9on812SP1uG5cP9PQmPHrdKgaJgfakSc,1,155331187386432591,155331187386432591
tz1UoKspWJewRU9ZPzeL3qR4gjfcGGX5gRiV,1,66733664177740107,66733664177740107
tz1YRG68NdqtAcsFEwTUw6FsSsiBb5kagEDo,1,10027309880997982,10027309880997982
tz1V28Zqfftk8o6ehc5UdJPzuyZW99yJ4Gj5,1,1337436688254,1337436688254
Total votes YES,26
Total votes NO,1
Total YOU YES,1423961462416868981
Total YOU NO,3667238517787511
Total YOU VOTED,1427628700934656492
