Address,Vote,TotalYOU,youInUnifiedStakingPool
tz1Y9jzfZ8NbGAREbQvQKbs51S4RF2SewH5K,0,16205500002873,16205500002873
tz1RfFpMfew5sz7iQkt1X7VbswP7dFmtzutD,1,2558937476767538,2558937476767538
tz1Ma54cPMcobQKkqAP1STzv3YtdY4w525Zh,1,21954549363587052,21954549363587052
tz1dbCAvra65bwTVk5mgkYUHUGz3hoKwovZ8,1,69704395819202,69704395819202
tz1dexUB1VgBk2576bFYcnd6QELuw4QajnJM,1,38698469060862249,38698469060862249
tz1UepMiFUV1KzgeFuviNZFHuZvXDvhh69fU,1,0,0
tz1MfQBoaAPfNtpcpWDKXMjtt8zHRL5t371v,1,101895913384,101895913384
tz1TQxmf4irW6xBNfa6Seg2KytMwDvJtiktn,1,103101462495080757,103101462495080757
tz1X2debvxGtmv1px96EHCXZemHFr2kEZner,1,8148218717503035,8148218717503035
tz1MdSsDBG8k8q1pxZrdpSC2Aw49ukFs8ACy,1,60795077259106293,60795077259106293
tz1dx13MqhxT93z5JWoFgHuaRbGAvkt3a1p1,1,15104304992091,15104304992091
tz1WVMmKYeDChF5nssUd5x3Mhc6kzqTeJ5C9,1,137840520269294944,137840520269294944
tz1YWAhTgqbBfB3m55ykmix3KFqn4BWHPnab,1,166417168427329719,166417168427329719
tz1RZiF2GQTsSHrnxZhUpYSfZBvnmTYEPaHW,1,84502175164127,84502175164127
tz1dBU7YAkrviDyUvZN5aeTZJ9YrmtaDADMG,0,61227204770274045,61227204770274045
tz1VYa9SB4LtsHLWZnJXc1JuL7wuX46orE2Z,1,11696890008496324,11696890008496324
tz1Xy5UM1tC3CFcbPBVq5PjufaxcLjMwfQkE,1,23751551177039,23751551177039
tz1RAKBnmd1X43pkkGqywYCRgf1Uo6D77zMx,1,36621508174859,36621508174859
tz2V5RiAymmUheGTeos9TDvEqL1Z9NzANp2N,1,1554312103938661,1554312103938661
tz1fv6Na5vy8ecSV3rQrWv2hdGoFgiwUP6TD,1,506083094484961306,506083094484961306
tz1YRG68NdqtAcsFEwTUw6FsSsiBb5kagEDo,1,10157646599213681,10157646599213681
tz1V28Zqfftk8o6ehc5UdJPzuyZW99yJ4Gj5,1,1354820922992,1354820922992
Total votes YES,20
Total votes NO,2
Total YOU YES,1069237486918305253
Total YOU NO,61243410270276918
Total YOU VOTED,1130480897188582171
