Address,Vote,TotalYOU,youInUnifiedStakingPool
tz1ZeRsv3qTfoKAzfaJLSGtqXpnJeUTM8BHg,1,11845785652770614,11845785652770614
tz1Z15qCAbWvqizZtoCyZNbqt1upY3w6Qrgy,1,75742088561413739,75742088561413739
tz1UoKspWJewRU9ZPzeL3qR4gjfcGGX5gRiV,1,75912052447072918,75912052447072918
tz1XYkmAHtkZFjZLdWNoL2BTqUws4oD4H1PR,1,0,0
tz2RWsfaU7zezmWpT2g7khBNbwnmqgh7Lc4S,1,331095397903,331095397903
tz1Ma54cPMcobQKkqAP1STzv3YtdY4w525Zh,1,22377097515900369,22377097515900369
tz1PkRD7XSUztwMWAcsHcMybGaShvVkTaoEb,1,264912781188,264912781188
tz1iJJPGh7arygfq5EC2sBaAF23T8iUYTpEH,1,0,0
tz1RCq8SjPnucWqCJJraeHkZMLVgvR8DxBzr,1,482266423122565,482266423122565
tz1ioU6W4otB7ebgRZTq1EVVra3vMyXqeqsm,1,15744033576091862,15744033576091862
tz1TQxmf4irW6xBNfa6Seg2KytMwDvJtiktn,1,109300078038805461,109300078038805461
tz1hKW9ZbV7U1hb1zPfrE6HG5UWsKt6eppMa,1,94232722172779,94232722172779
tz1VYa9SB4LtsHLWZnJXc1JuL7wuX46orE2Z,1,15009169386277041,15009169386277041
tz1VDzxkBJaERUrQiQrqF1ZgBvpTMdWdqtdP,1,0,0
tz1bo6VS72Ku24BpJgS5T1do4UrHJYowJCjx,1,117117241434331288,117117241434331288
tz1YWAhTgqbBfB3m55ykmix3KFqn4BWHPnab,1,56125850552705385,56125850552705385
tz1fv6Na5vy8ecSV3rQrWv2hdGoFgiwUP6TD,1,518123513036150051,518123513036150051
tz1VUAhWPnigTcWk25WigTxayuPgLjZZGCMw,1,106251502457722,106251502457722
tz1WYiiFphtVcuZqe2JVFGcSbTbr8PamSzqA,1,0,0
tz1QanPT1sMCTEqesxbySgWX2fwzpsSwDAa1,1,90420538859078,90420538859078
tz1e4DnaseVgUSRFjmhtLgbZmypdyc2ENzxY,1,0,0
tz1WVMmKYeDChF5nssUd5x3Mhc6kzqTeJ5C9,1,140493467327743727,140493467327743727
tz1dx13MqhxT93z5JWoFgHuaRbGAvkt3a1p1,1,15745177957747,15745177957747
tz1TiPk26hJEexFm3jbjn1tkhjriJCPPic39,1,340001827359026,340001827359026
tz1XHZo159DDRN1LWLEw5xzm41JWCaLcmUgJ,1,0,0
tz1RfFpMfew5sz7iQkt1X7VbswP7dFmtzutD,1,2608188027551929,2608188027551929
tz1MdSsDBG8k8q1pxZrdpSC2Aw49ukFs8ACy,1,58129656109186469,58129656109186469
tz1dBU7YAkrviDyUvZN5aeTZJ9YrmtaDADMG,1,53970201226074340,53970201226074340
tz1d4649CmmMEzXBWzhTgTkFxy9ATNhb5HC3,1,564158169400234,564158169400234
tz1X2debvxGtmv1px96EHCXZemHFr2kEZner,1,8552639289377813,8552639289377813
tz1YRG68NdqtAcsFEwTUw6FsSsiBb5kagEDo,1,9800847432664325,9800847432664325
tz1V28Zqfftk8o6ehc5UdJPzuyZW99yJ4Gj5,1,278545430908,278545430908
Total votes YES,32
Total votes NO,0
Total YOU YES,1292545860529056481
Total YOU NO,0
Total YOU VOTED,1292545860529056481
